"Timestamp","ATG_N2_POT"
"03/09/2013 18:48:22","1345"
"03/09/2013 18:51:59","1346"
"03/09/2013 18:55:37","1341"
"03/09/2013 18:59:14","1354"
"03/09/2013 19:02:52","1351"
"03/09/2013 19:06:29","1355"
"03/09/2013 19:10:07","1357"
"03/09/2013 19:13:44","1356"
"03/09/2013 19:17:21","1352"
"03/09/2013 19:20:59","1344"
"03/09/2013 19:24:36","1338"
"03/09/2013 19:28:14","1352"
"03/09/2013 19:31:51","1353"
"03/09/2013 19:35:29","1351"
"03/09/2013 19:39:06","1345"
"03/09/2013 19:42:44","1345"
"03/09/2013 19:46:21","1351"
"03/09/2013 19:49:58","1351"
"03/09/2013 19:53:36","1346"
"03/09/2013 19:57:13","1353"
"03/09/2013 20:00:51","1352"
"03/09/2013 20:04:28","1349"
"03/09/2013 20:08:06","1354"
"03/09/2013 20:11:43","1353"
"03/09/2013 20:15:20","1350"
"03/09/2013 20:18:58","1355"
"03/09/2013 20:22:35","1347"
"03/09/2013 20:26:13","1346"
"03/09/2013 20:29:50","1355"
"03/09/2013 20:33:28","1351"
"03/09/2013 20:37:05","1357"
"03/09/2013 20:40:43","1350"
"03/09/2013 20:44:20","1355"
"03/09/2013 20:47:57","1352"
"03/09/2013 20:51:35","1364"
"03/09/2013 20:55:12","1349"
"03/09/2013 20:58:50","1360"
"03/09/2013 21:02:27","1352"
"03/09/2013 21:06:05","1350"
"03/09/2013 21:09:42","1353"
"03/09/2013 21:13:19","1344"
"03/09/2013 21:16:57","1355"
"03/09/2013 21:20:34","1343"
"03/09/2013 21:24:12","1345"
"03/09/2013 21:27:49","1346"
"03/09/2013 21:31:27","1350"
"03/09/2013 21:35:04","1352"
"03/09/2013 21:38:41","1352"
"03/09/2013 21:42:19","1348"
"03/09/2013 21:45:56","1351"
"03/09/2013 21:49:34","1352"
"03/09/2013 21:53:11","1348"
"03/09/2013 21:56:49","1350"
"03/09/2013 22:00:26","1353"
"03/09/2013 22:04:04","1344"
"03/09/2013 22:07:41","1352"
"03/09/2013 22:11:18","1351"
"03/09/2013 22:14:56","1345"
"03/09/2013 22:18:33","1344"
"03/09/2013 22:22:11","1352"
"03/09/2013 22:25:48","1359"
"03/09/2013 22:29:26","1343"
"03/09/2013 22:33:03","1350"
"03/09/2013 22:36:40","1357"
"03/09/2013 22:40:18","1355"
"03/09/2013 22:43:55","1348"
"03/09/2013 22:47:33","1344"
"03/09/2013 22:51:10","1353"
"03/09/2013 22:54:48","1355"
"03/09/2013 22:58:25","1353"
"03/09/2013 23:02:03","1350"
"03/09/2013 23:05:40","1358"
"03/09/2013 23:09:17","1338"
"03/09/2013 23:12:55","1348"
"03/09/2013 23:16:32","1357"
"03/09/2013 23:20:10","1353"
"03/09/2013 23:23:47","1344"
"03/09/2013 23:27:25","1343"
"03/09/2013 23:31:02","1342"
"03/09/2013 23:34:39","1351"
"03/09/2013 23:38:17","1351"
"03/09/2013 23:41:54","1354"
"03/09/2013 23:45:32","1354"
"03/09/2013 23:49:09","1346"
"03/09/2013 23:52:47","1353"
"03/09/2013 23:56:24","1347"
"04/09/2013 00:00:02","1353"
"04/09/2013 00:03:39","1345"
"04/09/2013 00:07:16","1349"
"04/09/2013 00:10:54","1356"
"04/09/2013 00:14:31","1349"
"04/09/2013 00:18:09","1356"
"04/09/2013 00:21:46","1342"
"04/09/2013 00:25:24","1339"
"04/09/2013 00:29:01","1350"
"04/09/2013 00:32:38","1354"
"04/09/2013 00:36:16","1354"
"04/09/2013 00:39:53","1344"
"04/09/2013 00:43:31","1356"
"04/09/2013 00:47:08","1349"
"04/09/2013 00:50:46","1348"
"04/09/2013 00:54:23","1342"
"04/09/2013 00:58:00","1354"
"04/09/2013 01:01:38","1354"
"04/09/2013 01:05:15","1346"
"04/09/2013 01:08:53","1354"
"04/09/2013 01:12:30","1342"
"04/09/2013 01:16:08","1351"
"04/09/2013 01:19:45","1352"
"04/09/2013 01:23:23","1353"
"04/09/2013 01:27:00","1342"
"04/09/2013 01:30:37","1347"
"04/09/2013 01:34:15","1356"
"04/09/2013 01:37:52","1356"
"04/09/2013 01:41:30","1344"
"04/09/2013 01:45:07","1351"
"04/09/2013 01:48:45","1346"
"04/09/2013 01:52:22","1354"
"04/09/2013 01:55:59","1350"
"04/09/2013 01:59:37","1353"
"04/09/2013 02:03:14","1359"
"04/09/2013 02:06:52","1351"
"04/09/2013 02:10:29","1353"
"04/09/2013 02:14:07","1355"
"04/09/2013 02:17:44","1350"
"04/09/2013 02:21:22","1355"
"04/09/2013 02:24:59","1353"
"04/09/2013 02:28:36","1344"
"04/09/2013 02:32:14","1356"
"04/09/2013 02:35:51","1355"
"04/09/2013 02:39:29","1342"
"04/09/2013 02:43:06","1346"
"04/09/2013 02:46:44","1345"
"04/09/2013 02:50:21","1349"
"04/09/2013 02:53:58","1347"
"04/09/2013 02:57:36","1347"
"04/09/2013 03:01:13","1346"
"04/09/2013 03:04:51","1354"
"04/09/2013 03:08:28","1346"
"04/09/2013 03:12:06","1358"
"04/09/2013 03:15:43","1347"
"04/09/2013 03:19:20","1341"
"04/09/2013 03:22:58","1351"
"04/09/2013 03:26:35","1344"
"04/09/2013 03:30:13","1353"
"04/09/2013 03:33:50","1350"
"04/09/2013 03:37:28","1349"
"04/09/2013 03:41:05","1346"
"04/09/2013 03:44:43","1346"
"04/09/2013 03:48:20","1354"
"04/09/2013 03:51:57","1347"
"04/09/2013 03:55:35","1342"
"04/09/2013 03:59:12","1349"
"04/09/2013 04:02:50","1351"
"04/09/2013 04:06:27","1348"
"04/09/2013 04:10:05","1355"
"04/09/2013 04:13:42","1349"
"04/09/2013 04:17:19","1348"
"04/09/2013 04:20:57","1348"
"04/09/2013 04:24:34","1349"
"04/09/2013 04:28:12","1351"
"04/09/2013 04:31:49","1345"
"04/09/2013 04:35:27","1342"
"04/09/2013 04:39:04","1358"
"04/09/2013 04:42:42","1349"
"04/09/2013 04:46:19","1346"
"04/09/2013 04:49:56","1353"
"04/09/2013 04:53:34","1349"
"04/09/2013 04:57:11","1356"
"04/09/2013 05:00:49","1346"
"04/09/2013 05:04:26","1351"
"04/09/2013 05:08:04","1349"
"04/09/2013 05:11:41","1358"
"04/09/2013 05:15:18","1341"
"04/09/2013 05:18:56","1345"
"04/09/2013 05:22:33","1347"
"04/09/2013 05:26:11","1354"
"04/09/2013 05:29:48","1349"
"04/09/2013 05:33:26","1362"
"04/09/2013 05:37:03","1341"
"04/09/2013 05:40:40","1346"
"04/09/2013 05:44:18","1349"
"04/09/2013 05:47:55","1354"
"04/09/2013 05:51:33","1345"
"04/09/2013 05:55:10","1348"
"04/09/2013 05:58:48","1353"
"04/09/2013 06:02:25","1362"
"04/09/2013 06:06:03","1350"
"04/09/2013 06:09:40","1358"
"04/09/2013 06:13:17","1352"
"04/09/2013 06:16:55","1346"
"04/09/2013 06:20:32","1351"
"04/09/2013 06:24:10","1361"
"04/09/2013 06:27:47","1354"
"04/09/2013 06:31:25","1360"
"04/09/2013 06:35:02","1350"
"04/09/2013 06:38:39","1352"
"04/09/2013 06:42:17","1347"
"04/09/2013 06:45:54","1353"
"04/09/2013 06:49:32","1345"
"04/09/2013 06:53:09","1351"
"04/09/2013 06:56:47","1355"
"04/09/2013 07:00:24","1340"
"04/09/2013 07:04:02","1350"
"04/09/2013 07:07:39","1352"
"04/09/2013 07:11:16","1354"
"04/09/2013 07:14:54","1347"
"04/09/2013 07:18:31","1359"
"04/09/2013 07:22:09","1347"
"04/09/2013 07:25:46","1343"
"04/09/2013 07:29:24","1350"
